Access Name,URL,imgURL,County,Type,Location,Access Type,Path to Beach,Managed by,Parking,Fee,Bathrooms,Handicap Access,Running Water,Showers,Camp Sites,Stairs to Beach,Boat Ramps,Tidepooling,Surfing,Hiking,Bicycling,Horseback Riding,Road Vehicle Access,Whale Watching
Fort Stevens State Park Area C (North),?option=com_jumi&view=application&fileid=13&a=1&Itemid=109,/images/learn/access/P001668.gif,Clatsop,Fort Stevens State Park Area C (North),Pedestrian Access,beach,unpaved,State Parks,paved,yes,yes,no,yes,yes,yes,no,no,no,no,yes,yes,yes,no,no
Fort Stevens State Park Area C (South),?option=com_jumi&view=application&fileid=13&a=2&Itemid=109,/images/learn/access/P001666.gif,Clatsop,Fort Stevens State Park Area C (South),Visual Access Only,beach,none,State Parks,paved,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no
Fort Stevens State Park Area B ,?option=com_jumi&view=application&fileid=13&a=3&Itemid=109,/images/learn/access/P001669.gif,Clatsop,Fort Stevens State Park Area B ,Pedestrian Access,beach,unpaved,State Parks,paved,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no
Fort Stevens State Park Area A ,?option=com_jumi&view=application&fileid=13&a=4&Itemid=109,/images/learn/access/P001670.gif,Clatsop,Fort Stevens State Park Area A ,Pedestrian Access,beach,unpaved,State Parks,paved,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
Fort Stevens State Park at the Peter Iredale,?option=com_jumi&view=application&fileid=13&a=5&Itemid=109,/images/learn/access/P001671.gif,Clatsop,Fort Stevens State Park at the Peter Iredale,Vehicle Access,beach,none,State Parks,paved,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no,no
Taylor Street,?option=com_jumi&view=application&fileid=13&a=6&Itemid=109,/images/learn/access/P001677.gif,Clatsop,Taylor Street,Pedestrian Access,beach,none,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Sunset Beach at County Road,?option=com_jumi&view=application&fileid=13&a=7&Itemid=109,/images/learn/access/P001675.gif,Clatsop,Sunset Beach at County Road,Vehicle Access,beach,none,County,unpaved,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Del Rey Beach State Park,?option=com_jumi&view=application&fileid=13&a=8&Itemid=109,/images/learn/access/P001678.gif,Clatsop,Del Rey Beach State Park,Vehicle Access,beach,unpaved,State Parks,paved,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
13th Street,?option=com_jumi&view=application&fileid=13&a=9&Itemid=109,/images/learn/access/P001679.gif,Clatsop,13th Street,Vehicle Access,beach,unpaved,unknown,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
10th & Marion Ave.,?option=com_jumi&view=application&fileid=13&a=10&Itemid=109,/images/learn/access/P002075.gif,Clatsop,10th & Marion Ave.,Vehicle Access,beach,none,County,unpaved,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
